source_mat_id,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,depth,samp_size,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_dur,samp_deposit_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,ship_date
EMO BON ESC68N Wa 220824 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,50.0,,,,,,,,
EMO BON ESC68N Wa 220824 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,50.0,,,,,,,,
EMO BON ESC68N Wa 220824 3um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,2022-08-24,,,,,,,
EMO BON ESC68N Wa 220824 3um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,2022-08-24,,,,,,,
EMO BON ESC68N Wa 220824 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,2022-08-24,,,,,,,
EMO BON ESC68N Wa 220824 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,2022-08-24,,,,,,,
EMO BON ESC68N Wa 220824 3um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,,,,,,,,
EMO BON ESC68N Wa 220824 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-08-24,ESC68N Wa 220824,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,,,,,,,,
EMO BON ESC68N Wa 221201 3um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,,,,,,,,
EMO BON ESC68N Wa 221201 3um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,,,,,,,,
EMO BON ESC68N Wa 221201 0.2um 1,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,,,,,,,,
EMO BON ESC68N Wa 221201 0.2um 2,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,,,,,,,,
EMO BON ESC68N Wa 221201 3um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,2022-12-02,,,,,,,
EMO BON ESC68N Wa 221201 3um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,2022-12-02,,,,,,,
EMO BON ESC68N Wa 221201 0.2um 3,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,2022-12-02,,,,,,,
EMO BON ESC68N Wa 221201 0.2um 4,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,2022-12-02,,,,,,,
EMO BON ESC68N Wa 221201 3um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,3-200,200,3.0,Y,Niskin,WaSOP1,,,,,,,,,,
EMO BON ESC68N Wa 221201 0.2um blank,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-12-01,ESC68N Wa 221201,Kristel Berg,,,2,10,fi,0.2-3,3,0.2,Y,Niskin,WaSOP1,,,,,,,,,,
