Diagnosis,LogsheetType,LogsheetTab,Column,Row,Value,ExtendedDiagnosis,FilePath,DataType,Requirement
illegal depth,water,sampling,depth,70,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,71,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,72,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,73,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,74,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,75,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,76,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,77,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,78,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,79,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
illegal depth,water,sampling,depth,80,2,depth must be less than or equal to tot_depth_water_col (18),/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,1,EMOBON_ESC68N_Wa_1,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_200um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,2,EMOBON_ESC68N_Wa_2,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_200um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,3,EMOBON_ESC68N_Wa_3,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_3um_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,4,EMOBON_ESC68N_Wa_4,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_3um_2$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,5,EMOBON_ESC68N_Wa_5,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_200um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,6,EMOBON_ESC68N_Wa_6,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_200um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,7,EMOBON_ESC68N_Wa_7,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_3um_3$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,8,EMOBON_ESC68N_Wa_8,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_3um_4$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,9,EMOBON_ESC68N_Wa_9,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_200um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
source_mat_id error,water,sampling,source_mat_id,10,EMOBON_ESC68N_Wa_10,source_mat_id should match ^EMOBON_ESC68N_Wa_210830_3um_blank_1$,/github/workspace/logsheets/filtered/water_sampling.csv,XSDString,mandatory
